Title,Author,ISBN,Description
The Lathe of Heaven,Ursula K. Le Guin,9781416556154,A man whose dreams alter reality becomes the subject of manipulation.
Lilith’s Brood,Octavia E. Butler,9780446676106,Humanity rebuilds after apocalypse with the help of alien genetic engineers.
2001: A Space Odyssey,Arthur C. Clarke,9780451457998,A mysterious monolith influences human evolution.
Rendezvous with Rama,Arthur C. Clarke,9780553287899,Explorers enter a massive alien spacecraft passing through the solar system.
Speaker for the Dead,Orson Scott Card,9780812550757,Ender Wiggin seeks understanding between humans and an alien species.
The Gods Themselves,Isaac Asimov,9780553292152,Scientists discover an energy source that could destroy the universe.
The Reality Dysfunction,Peter F. Hamilton,9780446605168,A sprawling space opera where the dead begin to return.
The Caves of Steel,Isaac Asimov,9780553293401,A human detective and a robot partner investigate murder aboard a vast enclosed Earth city.
The Seep,Chana Porter,9781641290869,An alien utopia challenges one woman's sense of identity.
The Kaiju Preservation Society,John Scalzi,9780765389107,An alternate Earth filled with giant creatures needs human help.
Project Hail Mary,Andy Weir,9780593135204,A lone astronaut must save humanity with the help of an unexpected ally.
The Calculating Stars,Mary Robinette Kowal,9780765378385,A woman fights to become an astronaut after a climate catastrophe accelerates spaceflight.
Light From Uncommon Stars,Ryka Aoki,9781250789068,"A runaway violinist, a Faustian bargain, and an alien donut shop collide."
The Stars My Destination,Alfred Bester,9780679767800,A marooned spaceman fuels his obsessive revenge across a solar system where teleportation is commonplace.
A Memory Called Empire,Arkady Martine,9781250186430,An ambassador from a small space station navigates the politics of a vast interstellar empire while uncovering a conspiracy.
Ancillary Justice,Ann Leckie,9780316246620,A starship AI reduced to a single human body pursues revenge across an interstellar empire.
